id,name,manufacturer,scale,year,folder,material,type,desc,figures
108,Конница 1812 года (набор №3),Малыш,1:32,1983-,malysh/1812_cavalry/3,plastic,flat,"Скульптор Б. Д. Савельев. Разные выпуски различались качеством пластика (плотный и полупрозрачный), ценой (12к. ранние и 11к. поздние), а также множеством мелких деталей.",;;;;;;;;
109,Конница 1812 года (набор №4),Малыш,1:32,1983-,malysh/1812_cavalry/4,plastic,flat,"Скульптор Б. Д. Савельев. Разные выпуски различались качеством пластика (плотный и полупрозрачный), ценой (12к. ранние и 11к. поздние), а также множеством мелких деталей.",;;;;;;;;;
110,Папуасы,PGH Effelder,1:32,1971-1998,pgh_effelder/papuasy,plastic,round,,;;;;;
111,Ковбои,TimMee,1:32,,timmee/cowboys,plastic,round,,;;;
112,Индейцы,TimMee,1:32,,timmee/indians,plastic,round,,;;;;;
113,Суворовский мушкетёр,Солдатики «УРА»,1:35,,ura/suvorov,metal,flat,,
114,Легенды Сибири (дополнение),Горыныч Пласт,1:32,2020,gorynych/sibir2,plastic,flat,Набор по мотивам картины Василия Сурикова «‎Покорение Сибири Ермаком Тимофеевичем»,;;;;;;;;;;
115,Пехота финской армии и РККА 1939-1940,Горыныч Пласт,1:32,2020,lad/finn,plastic,flat,,;;;;;;;;;;;;;;;
116,Золото скифов (расширенный набор),Солдатики ЛАД,1:32,2020,lad/skify2,plastic,flat,"Набор выполнен по мотивам артефактов, найденных при раскопках скифских и сарматских курганах в Днепропетровской области и Крыму. Автор - Алексей Лапшин, г. Тюмень.",;;;;;;;;;;;;;;;;;
117,Война за независимость США. Колониальная милиция,Marx/Marx recast,1:35,,marx/usa_militia,plastic,round,Произведены в Мексике в 2000-е годы.,;;;;;;;;
118,Немецкая пехота,Airfix,1:32,,airfix/germans,plastic,round,,;;;;;;;
119,Седьмая кавалерия,Airfix,1:32,,airfix/7th_cavalry,plastic,round,,;;;;;;;;;;;
120,Ковбои,Airfix,1:32,,airfix/cowboys,plastic,round,,;;;;;;;;;;;
121,Французская пехота (Наполеоновские войны),Airfix,1:32,,airfix/french,plastic,round,,;;;;;
122,Индейцы,Airfix,1:32,,airfix/indians,plastic,round,,;;;;;;;;;;;
123,Средневековые воины,Airfix,1:32,,airfix/knights,plastic,round,,;;;;;;
124,Бельгийская пехота (Наполеоновские войны),A Call To Arms,1:32,,cta/belgian_infantry,plastic,round,,;;;
125,Британские артиллеристы + 9-фунтовое орудие (Наполеоновские войны),A Call To Arms,1:32,,cta/british_artillery,plastic,round,,;;;;
126,Британская конная гвардия (Наполеоновские войны),A Call To Arms,1:32,,cta/british_cavalry,plastic,round,,;;;
127,Британские драгуны (Наполеоновские войны),A Call To Arms,1:32,,cta/british_dragoons,plastic,round,,;;;
128,Британские лёгкая пехота (Наполеоновские войны),A Call To Arms,1:32,,cta/british_light_infantry,plastic,round,,;;;
129,Британские стрелки - 95-й элитный полк лёгкой пехоты (Наполеоновские войны),A Call To Arms,1:32,,cta/british_shooters,plastic,round,,;;;
130,Французские карабинеры (Наполеоновские войны),A Call To Arms,1:32,,cta/french_carabiners,plastic,round,,;;;
131,Французские кирасиры (Наполеоновские войны),A Call To Arms,1:32,,cta/french_cuirassiers,plastic,round,,;;;
132,Французские драгуны (Наполеоновские войны),A Call To Arms,1:32,,cta/french_dragoons,plastic,round,,;;;
133,Французская лёгкая пехота (Наполеоновские войны),A Call To Arms,1:32,,cta/french_light_infantry,plastic,round,,;;;
134,Французская линейная пехота (Наполеоновские войны),A Call To Arms,1:32,,cta/french_line_infantry,plastic,round,,;;;
135,Голландская пехота (Наполеоновские войны),A Call To Arms,1:32,,cta/holland_infantry,plastic,round,,;;;
136,"""Шотландские серые"" (Наполеоновские войны)",A Call To Arms,1:32,,cta/scottish_grey,plastic,round,,;;;
137,Британские гренадёры (Война за независимость США),A Call To Arms,1:32,,cta/usa_british_grenadiers,plastic,round,,;;;
138,Британская лёгкая пехота (Война за независимость США),A Call To Arms,1:32,,cta/usa_british_light_infantry,plastic,round,,;;;
139,Американский Мэрилэндский полк (Война за независимость США),A Call To Arms,1:32,,cta/usa_maryland,plastic,round,,;;;
140,Легенды Сибири (дополнение),Горыныч Пласт,1:32,2020,gorynych/ermak4,plastic,flat,,;;;
141,Стрельцы,Горыныч Пласт,1:32,2020,gorynych/streltsy,plastic,flat,,;
142,Воины древней Эллады 2,Солдатики ЛАД,1:32,,lad/greeks2,plastic,flat,,;;;;;;;;;;;
143,Ханское войско,Солдатики ЛАД,1:32,,lad/khan,plastic,flat,,;;;;;;;
144,Рыцарский турнир,Солдатики ЛАД,1:32,,lad/knights_tournir,plastic,flat,,;;;;;;;;;;;
145,Московское войско,Солдатики ЛАД,1:32,,lad/moscow,plastic,flat,,;;;;;;;;;;;
146,Робин Гуд и вольные стрелки,Marx/Marx recast,1:32,,marx/robin_hood,plastic,round,Набор по мотивам телешоу «Приключения Робин Гуда».,;;;;;;;;
147,Ковбои и золотоискатели,Marx/Marx recast,1:35,,marx/gold_finders,plastic,round,,;;;;;;;;;;;;;;;;;;;;;;
148,"Рыцари, вторая серия",Marx/Marx recast,1:35,,marx/knights2,plastic,round,,;;;;;;
149,Немецкая пехота,TSSD,1:32,,tssd/germans,plastic,round,,;;;;;;;
150,Советская пехота,TSSD,1:32,,tssd/russians,plastic,round,,;;;;;;;
